date,gross_revenue,total_discount,net_revenue,total_orders,total_sessions,total_users,conversion_rate,avg_order_value,new_customers,repeat_customers
2025-02-06,15019.13,1531.94,13487.19,35,400,399,8.75,429.12,,35
2025-02-07,15709.11,1055.98,14653.13,36,400,398,9.0,436.36,,36
2025-02-08,12829.21,1986.9,10842.31,27,400,398,6.75,475.16,,27
2025-02-09,18338.89,1938.93,16399.96,38,400,397,9.5,482.6,,38
2025-02-10,12889.22,1159.95,11729.27,26,400,400,6.5,495.74,,26
2025-02-11,12359.22,1329.96,11029.26,31,400,396,7.75,398.68,,31
2025-02-12,17659.0,2328.92,15330.08,33,400,400,8.25,535.12,,33
2025-02-13,11229.31,1347.96,9881.35,22,400,397,5.5,510.42,,22
2025-02-14,9449.38,914.95,8534.43,21,400,399,5.25,449.97,,21
2025-02-15,15759.11,1122.95,14636.16,28,400,400,7.0,562.83,,28
2025-02-16,18418.88,1685.92,16732.96,34,400,398,8.5,541.73,,33
2025-02-17,14649.08,1424.95,13224.13,34,400,400,8.5,430.86,,34
2025-02-18,16728.95,1536.95,15192.0,31,400,397,7.75,539.64,,31
2025-02-19,11009.36,980.98,10028.38,24,400,396,6.0,458.72,,24
2025-02-20,14499.11,1242.94,13256.17,31,400,400,7.75,467.71,,31
2025-02-21,12939.18,1429.93,11509.25,26,400,397,6.5,497.66,,26
2025-02-22,16549.01,1861.92,14687.09,31,400,397,7.75,533.84,,31
2025-02-23,11759.23,1106.95,10652.28,29,400,399,7.25,405.49,,29
2025-02-24,18128.84,2137.91,15990.93,42,400,399,10.5,431.64,,42
2025-02-25,15568.98,1824.91,13744.07,35,400,399,8.75,444.83,,35
2025-02-26,18738.96,1702.93,17036.03,35,400,398,8.75,535.4,,35
2025-02-27,14549.02,1523.96,13025.06,33,400,399,8.25,440.88,,33
2025-02-28,15199.1,1593.94,13605.16,31,400,400,7.75,490.29,,31
2025-03-01,15998.94,1599.93,14399.01,36,400,399,9.0,444.42,,36
2025-03-02,14569.15,1482.92,13086.23,31,400,400,7.75,469.97,,31
2025-03-03,13509.14,928.99,12580.15,34,400,399,8.5,397.33,,34
2025-03-04,12019.27,1338.94,10680.33,21,400,397,5.25,572.35,,21
2025-03-05,19198.85,1896.95,17301.9,38,400,400,9.5,505.23,,38
2025-03-06,10729.3,1007.97,9721.33,25,400,399,6.25,429.17,,25
2025-03-07,15819.13,1824.93,13994.2,31,400,400,7.75,510.29,,31
2025-03-08,17008.96,1416.95,15592.01,36,400,399,9.0,472.47,,36
2025-03-09,16788.96,1956.92,14832.04,36,400,400,9.0,466.36,,36
2025-03-10,19668.84,2181.93,17486.91,37,400,400,9.25,531.59,,37
2025-03-11,10269.24,1277.93,8991.31,28,400,399,7.0,366.76,,28
2025-03-12,11139.32,1365.93,9773.39,24,400,400,6.0,464.14,,24
2025-03-13,12809.15,1634.91,11174.24,25,400,400,6.25,512.37,,25
2025-03-14,14999.07,1615.93,13383.14,32,400,398,8.0,468.72,,32
2025-03-15,20878.81,1778.94,19099.87,34,400,396,8.5,614.08,,34
2025-03-16,13169.15,1391.94,11777.21,27,400,398,6.75,487.75,,27
2025-03-17,14479.2,1469.93,13009.27,24,400,400,6.0,603.3,,24
2025-03-18,16439.04,1501.95,14937.09,31,400,396,7.75,530.29,,31
2025-03-19,13349.2,1218.95,12130.25,28,400,396,7.0,476.76,,28
2025-03-20,19338.73,1931.89,17406.84,37,400,399,9.25,522.67,,37
2025-03-21,16258.94,1856.9,14402.04,35,400,400,8.75,464.54,,35
2025-03-22,9469.44,1013.95,8455.49,22,400,400,5.5,430.43,,22
2025-03-23,17258.9,1830.89,15428.01,39,400,398,9.75,442.54,,39
2025-03-24,17089.06,1702.96,15386.1,33,400,400,8.25,517.85,,33
2025-03-25,16198.89,1707.89,14491.0,34,400,398,8.5,476.44,,33
2025-03-26,17118.98,1522.95,15596.03,32,400,400,8.0,534.97,,32
2025-03-27,18788.73,1992.91,16795.82,39,400,398,9.75,481.76,,39
2025-03-28,15959.04,1383.97,14575.07,33,400,398,8.25,483.61,,33
2025-03-29,21358.62,2111.9,19246.72,41,400,399,10.25,520.94,,41
2025-03-30,19088.85,1785.95,17302.9,40,400,396,10.0,477.22,,40
2025-03-31,19168.81,2096.9,17071.91,35,400,398,8.75,547.68,,35
2025-04-01,16638.96,1837.9,14801.06,33,400,400,8.25,504.21,,33
2025-04-02,14589.09,1522.94,13066.15,29,400,399,7.25,503.07,,29
2025-04-03,14049.11,1439.94,12609.17,30,400,397,7.5,468.3,,30
2025-04-04,20418.88,2157.9,18260.98,36,400,399,9.0,567.19,,36
2025-04-05,15969.01,1727.93,14241.08,34,400,398,8.5,469.68,,34
2025-04-06,16539.01,1677.95,14861.06,34,400,397,8.5,486.44,,34
2025-04-07,14099.09,1373.94,12725.15,30,400,399,7.5,469.97,,30
2025-04-08,16188.97,1819.94,14369.03,30,400,397,7.5,539.63,,30
2025-04-09,13809.18,1960.93,11848.25,27,400,398,6.75,511.45,,27
2025-04-10,21178.76,2256.87,18921.89,38,400,398,9.5,557.34,,38
2025-04-11,17838.98,1755.94,16083.04,36,400,400,9.0,495.53,,36
2025-04-12,10709.38,1107.95,9601.43,24,400,400,6.0,446.22,,24
2025-04-13,17718.93,1827.94,15890.99,33,400,399,8.25,536.94,,33
2025-04-14,12209.28,1201.95,11007.33,29,400,399,7.25,421.01,,29
2025-04-15,14879.19,1392.97,13486.22,28,400,399,7.0,531.4,,28
2025-04-16,13389.2,1002.97,12386.23,23,400,400,5.75,582.14,,23
2025-04-17,16619.01,1668.95,14950.06,37,400,399,9.25,449.16,,37
2025-04-18,15399.1,1658.94,13740.16,31,400,398,7.75,496.75,,31
2025-04-19,16639.02,1742.91,14896.11,31,400,398,7.75,536.74,,31
2025-04-20,17868.93,1944.9,15924.03,36,400,400,9.0,496.36,,36
2025-04-21,17139.0,1950.92,15188.08,33,400,400,8.25,519.36,,33
2025-04-22,7879.51,920.96,6958.55,21,400,399,5.25,375.21,,21
2025-04-23,11949.28,1203.91,10745.37,26,400,400,6.5,459.59,,26
2025-04-24,16328.99,1184.97,15144.02,32,400,399,8.0,510.28,,32
2025-04-25,13629.15,1574.93,12054.22,30,400,399,7.5,454.31,,30
2025-04-26,8999.46,741.95,8257.51,19,400,400,4.75,473.66,,19
2025-04-27,15269.06,1772.92,13496.14,26,400,399,6.5,587.27,,26
2025-04-28,8389.45,931.96,7457.49,22,400,400,5.5,381.34,,22
2025-04-29,19278.88,2088.88,17190.0,35,400,400,8.75,550.83,,35
2025-04-30,12649.19,1213.95,11435.24,29,400,399,7.25,436.18,,29
2025-05-01,20398.71,2253.87,18144.84,40,400,400,10.0,509.97,,40
2025-05-02,14069.07,1280.95,12788.12,31,400,399,7.75,453.84,,31
2025-05-03,8719.44,956.96,7762.48,20,400,397,5.0,435.97,,20
2025-05-04,9809.36,761.98,9047.38,22,400,399,5.5,445.88,,22
2025-05-05,15879.07,1911.91,13967.16,33,400,399,8.25,481.18,,33
2025-05-06,17878.98,2007.91,15871.07,31,400,398,7.75,576.74,,31
2025-05-07,14179.12,1369.93,12809.19,28,400,400,7.0,506.4,,28
2025-05-08,9939.35,1530.91,8408.44,22,400,399,5.5,451.79,,22
2025-05-09,11289.34,945.96,10343.38,23,400,399,5.75,490.84,,23
2025-05-10,13479.18,1810.93,11668.25,32,400,398,8.0,421.22,,32
2025-05-11,17918.92,1722.94,16195.98,39,400,399,9.75,459.46,,39
2025-05-12,10699.35,749.98,9949.37,22,400,399,5.5,486.33,,22
2025-05-13,10039.39,978.97,9060.42,25,400,398,6.25,401.58,,25
2025-05-14,11539.28,1301.94,10237.34,23,400,400,5.75,501.71,,23
2025-05-15,19428.83,1969.92,17458.91,39,400,400,9.75,498.18,,39
2025-05-16,16399.01,1714.92,14684.09,34,400,399,8.5,482.32,,34
2025-05-17,23148.69,2837.87,20310.82,42,400,399,10.5,551.16,,42
2025-05-18,12769.26,1655.94,11113.32,23,400,399,5.75,555.19,,23
2025-05-19,12679.2,1488.93,11190.27,28,400,400,7.0,452.83,,28
2025-05-20,11689.36,1091.96,10597.4,25,400,397,6.25,467.57,,25
2025-05-21,12749.28,1311.94,11437.34,25,400,399,6.25,509.97,,25
2025-05-22,13209.16,1358.94,11850.22,25,400,399,6.25,528.37,,25
2025-05-23,15489.14,1613.96,13875.18,35,400,399,8.75,442.55,,35
2025-05-24,17138.99,1554.93,15584.06,33,400,400,8.25,519.36,,33
2025-05-25,11849.21,1149.95,10699.26,27,400,399,6.75,438.86,,27
2025-05-26,16539.0,1609.94,14929.06,37,400,399,9.25,447.0,,37
2025-05-27,20608.83,1629.94,18978.89,36,400,399,9.0,572.47,,36
2025-05-28,13589.23,1176.94,12412.29,28,400,400,7.0,485.33,,28
2025-05-29,14429.09,1414.95,13014.14,32,400,399,8.0,450.91,,32
2025-05-30,19728.91,1596.95,18131.96,35,400,398,8.75,563.68,,35
2025-05-31,14029.17,1082.97,12946.2,28,400,400,7.0,501.04,,28
2025-06-01,14929.09,1419.93,13509.16,27,400,400,6.75,552.93,,27
2025-06-02,19028.89,2081.92,16946.97,38,400,400,9.5,500.76,,38
2025-06-03,17269.06,2387.9,14881.16,31,400,400,7.75,557.07,,31
2025-06-04,13349.22,1312.94,12036.28,24,400,400,6.0,556.22,,24
2025-06-05,21618.71,2753.89,18864.82,43,400,399,10.75,502.76,,43
2025-06-06,16979.04,2033.9,14945.14,34,400,400,8.5,499.38,,34
2025-06-07,16389.0,2087.91,14301.09,39,400,399,9.75,420.23,,39
2025-06-08,13769.12,1342.95,12426.17,29,400,400,7.25,474.8,,29
2025-06-09,12009.29,1286.95,10722.34,22,400,400,5.5,545.88,,22
2025-06-10,14729.08,1505.96,13223.12,34,400,400,8.5,433.21,,34
2025-06-11,15479.05,1015.99,14463.06,34,400,399,8.5,455.27,,34
2025-06-12,17128.94,1867.93,15261.01,33,400,400,8.25,519.06,,33
2025-06-13,19128.8,1884.88,17243.92,39,400,400,9.75,490.48,,39
2025-06-14,15929.05,1374.95,14554.1,27,400,399,6.75,589.96,,27
2025-06-15,14839.16,1740.95,13098.21,31,400,400,7.75,478.68,,31
2025-06-16,16969.11,1557.96,15411.15,30,400,398,7.5,565.64,,30
2025-06-17,14089.11,1304.95,12784.16,31,400,400,7.75,454.49,,31
2025-06-18,13499.2,1526.95,11972.25,28,400,400,7.0,482.11,,28
2025-06-19,13459.22,1439.94,12019.28,24,400,399,6.0,560.8,,24
2025-06-20,14249.15,1168.95,13080.2,29,400,399,7.25,491.35,,29
2025-06-21,17448.9,1876.95,15571.95,37,400,399,9.25,471.59,,37
2025-06-22,11139.27,1157.95,9981.32,27,400,400,6.75,412.57,,27
2025-06-23,16948.96,1591.92,15357.04,30,400,399,7.5,564.97,,30
2025-06-24,12949.21,908.97,12040.24,27,400,400,6.75,479.6,,27
2025-06-25,16079.02,1798.92,14280.1,33,400,400,8.25,487.24,,33
2025-06-26,13299.25,1400.95,11898.3,27,400,400,6.75,492.56,,27
2025-06-27,18118.77,2033.89,16084.88,39,400,400,9.75,464.58,,39
2025-06-28,16598.88,1556.92,15041.96,34,400,399,8.5,488.2,,34
2025-06-29,8049.48,556.98,7492.5,18,400,400,4.5,447.19,,18
2025-06-30,9719.38,889.97,8829.41,23,400,400,5.75,422.58,,23
2025-07-01,18698.92,1861.93,16836.99,38,400,400,9.5,492.08,,38
2025-07-02,9749.43,890.97,8858.46,21,400,399,5.25,464.26,,21
2025-07-03,13819.08,1447.92,12371.16,31,400,399,7.75,445.78,,31
2025-07-04,18418.89,2103.91,16314.98,37,400,400,9.25,497.81,,37
2025-07-05,14669.14,1153.97,13515.17,25,400,399,6.25,586.77,,25
2025-07-06,15099.1,1801.9,13297.2,29,400,400,7.25,520.66,,29
2025-07-07,16568.94,1596.91,14972.03,33,400,400,8.25,502.09,,33
2025-07-08,13919.17,1769.92,12149.25,28,400,399,7.0,497.11,,28
2025-07-09,12509.24,1125.97,11383.27,27,400,400,6.75,463.31,,27
2025-07-10,20058.84,1787.94,18270.9,33,400,400,8.25,607.84,,33
2025-07-11,13739.26,1269.95,12469.31,29,400,398,7.25,473.77,,29
2025-07-12,15199.12,1394.93,13804.19,27,400,399,6.75,562.93,,27
2025-07-13,14049.14,1931.89,12117.25,27,400,399,6.75,520.34,,27
2025-07-14,17628.89,1750.93,15877.96,34,400,400,8.5,518.5,,34
2025-07-15,18688.85,2032.92,16655.93,39,400,400,9.75,479.2,,39
2025-07-16,16738.95,1735.91,15003.04,32,400,399,8.0,523.09,,32
2025-07-17,16938.89,2093.88,14845.01,33,400,400,8.25,513.3,,33
2025-07-18,18088.9,1358.96,16729.94,35,400,399,8.75,516.83,,35
2025-07-19,13419.17,868.98,12550.19,31,400,399,7.75,432.88,,31
2025-07-20,14529.13,1938.92,12590.21,31,400,400,7.75,468.68,,31
2025-07-21,15239.04,1750.94,13488.1,31,400,399,7.75,491.58,,31
2025-07-22,14139.14,1684.92,12454.22,31,400,399,7.75,456.1,,31
2025-07-23,12009.21,1013.98,10995.23,28,400,400,7.0,428.9,,28
2025-07-24,14439.16,1505.93,12933.23,31,400,400,7.75,465.78,,31
2025-07-25,15759.01,1827.9,13931.11,31,400,399,7.75,508.36,,31
2025-07-26,20018.83,1825.93,18192.9,37,400,400,9.25,541.05,,37
2025-07-27,14499.21,1818.92,12680.29,27,400,400,6.75,537.01,,27
2025-07-28,18778.85,2019.93,16758.92,38,400,399,9.5,494.18,,38
2025-07-29,11499.23,1507.92,9991.31,22,400,400,5.5,522.69,,22
2025-07-30,13969.14,1451.96,12517.18,34,400,400,8.5,410.86,,34
2025-07-31,16428.96,1445.95,14983.01,39,400,400,9.75,421.26,,39
2025-08-01,14039.08,1432.92,12606.16,33,400,399,8.25,425.43,,33
2025-08-02,14509.16,1185.95,13323.21,29,400,400,7.25,500.32,,29
2025-08-03,16698.95,1645.93,15053.02,34,400,400,8.5,491.15,,34
2025-08-04,23578.62,2478.91,21099.71,44,400,400,11.0,535.88,,44
2025-08-05,12119.18,1001.96,11117.22,28,400,399,7.0,432.83,,28
2025-08-06,13469.15,1458.97,12010.18,30,400,399,7.5,448.97,,30
2025-08-07,11809.33,1160.95,10648.38,25,400,400,6.25,472.37,,25
2025-08-08,15269.07,1343.92,13925.15,28,400,400,7.0,545.32,,28
2025-08-09,18519.01,1652.94,16866.07,32,400,399,8.0,578.72,,32
2025-08-10,14639.08,1557.93,13081.15,28,400,400,7.0,522.82,,28
2025-08-11,12929.17,1338.94,11590.23,29,400,400,7.25,445.83,,29
2025-08-12,14299.15,1210.95,13088.2,26,400,400,6.5,549.97,,26
2025-08-13,18468.9,1841.93,16626.97,37,400,400,9.25,499.16,,37
2025-08-14,14859.1,1457.94,13401.16,28,400,400,7.0,530.68,,28
2025-08-15,15869.04,1489.97,14379.07,32,400,400,8.0,495.91,,32
2025-08-16,16358.94,1834.89,14524.05,34,400,399,8.5,481.15,,34
2025-08-17,12729.19,1226.97,11502.22,28,400,399,7.0,454.61,,28
2025-08-18,18708.89,1722.94,16985.95,35,400,399,8.75,534.54,,35
2025-08-19,16219.04,1825.92,14393.12,31,400,399,7.75,523.19,,31
2025-08-20,13149.22,791.97,12357.25,25,400,399,6.25,525.97,,25
2025-08-21,15319.02,1419.95,13899.07,33,400,400,8.25,464.21,,33
2025-08-22,18998.91,1983.9,17015.01,38,400,400,9.5,499.97,,38
2025-08-23,12819.2,1423.95,11395.25,30,400,400,7.5,427.31,,30
2025-08-24,16189.05,1853.93,14335.12,33,400,400,8.25,490.58,,33
2025-08-25,16589.01,2102.9,14486.11,33,400,400,8.25,502.7,,33
2025-08-26,17229.01,1733.93,15495.08,29,400,399,7.25,594.1,,28
2025-08-27,15669.1,2027.89,13641.21,30,400,400,7.5,522.3,,30
2025-08-28,14729.13,1320.95,13408.18,30,400,400,7.5,490.97,,30
2025-08-29,14529.07,1724.94,12804.13,34,400,400,8.5,427.33,,34
2025-08-30,17289.05,1551.94,15737.11,29,400,400,7.25,596.17,,29
2025-08-31,18818.83,1863.92,16954.91,38,400,399,9.5,495.23,,38
2025-09-01,18638.88,2132.92,16505.96,36,400,399,9.0,517.75,,36
2025-09-02,20788.76,1765.9,19022.86,45,400,399,11.25,461.97,,45
2025-09-03,13319.25,1764.92,11554.33,27,400,400,6.75,493.31,,27
2025-09-04,18808.79,1430.96,17377.83,38,400,399,9.5,494.97,,38
2025-09-05,17188.99,1671.94,15517.05,35,400,400,8.75,491.11,,35
2025-09-06,17308.96,1703.94,15605.02,34,400,400,8.5,509.09,,34
2025-09-07,16719.09,1937.92,14781.17,26,400,400,6.5,643.04,,26
2025-09-08,16928.97,1794.91,15134.06,31,400,399,7.75,546.1,,31
2025-09-09,13569.25,1318.96,12250.29,27,400,399,6.75,502.56,,27
2025-09-10,15208.99,1473.94,13735.05,34,400,399,8.5,447.32,,34
2025-09-11,17608.98,1686.93,15922.05,34,400,400,8.5,517.91,,34
2025-09-12,11829.24,1225.94,10603.3,26,400,399,6.5,454.97,,26
2025-09-13,9449.4,767.97,8681.43,20,400,400,5.0,472.47,,20
2025-09-14,11829.25,1452.94,10376.31,28,400,399,7.0,422.47,,28
2025-09-15,16428.97,1667.93,14761.04,36,400,399,9.0,456.36,,36
2025-09-16,11709.29,1390.95,10318.34,21,400,400,5.25,557.59,,21
2025-09-17,11369.35,1192.96,10176.39,24,400,400,6.0,473.72,,24
2025-09-18,19428.86,1968.93,17459.93,41,400,399,10.25,473.87,,41
2025-09-19,9209.44,1365.93,7843.51,19,400,400,4.75,484.71,,19
2025-09-20,16469.03,1419.95,15049.08,35,400,400,8.75,470.54,,35
2025-09-21,15119.11,1117.94,14001.17,30,400,400,7.5,503.97,,30
2025-09-22,15889.07,1589.95,14299.12,32,400,399,8.0,496.53,,32
2025-09-23,10089.34,601.97,9487.37,22,400,400,5.5,458.61,,22
2025-09-24,12909.26,813.97,12095.29,23,400,400,5.75,561.27,,23
2025-09-25,13899.14,1334.96,12564.18,26,400,400,6.5,534.58,,26
2025-09-26,15139.03,1565.95,13573.08,34,400,400,8.5,445.27,,34
2025-09-27,10899.33,1194.95,9704.38,21,400,399,5.25,519.02,,21
2025-09-28,14239.08,1238.94,13000.14,30,400,399,7.5,474.64,,30
2025-09-29,15669.07,1336.94,14332.13,32,400,400,8.0,489.66,,32
2025-09-30,12809.24,1328.96,11480.28,24,400,400,6.0,533.72,,24
2025-10-01,15719.06,1679.93,14039.13,31,400,400,7.75,507.07,,31
2025-10-02,11629.29,865.95,10763.34,25,400,400,6.25,465.17,,25
2025-10-03,12949.27,1161.97,11787.3,25,400,400,6.25,517.97,,25
2025-10-04,18258.99,1303.96,16955.03,33,400,400,8.25,553.3,,33
2025-10-05,13259.16,1624.92,11634.24,29,400,400,7.25,457.21,,29
2025-10-06,15769.07,1101.95,14667.12,29,400,400,7.25,543.76,,29
2025-10-07,12729.27,1330.96,11398.31,28,400,400,7.0,454.62,,28
2025-10-08,15779.08,1977.9,13801.18,27,400,398,6.75,584.41,,27
2025-10-09,14649.18,1207.96,13441.22,30,400,399,7.5,488.31,,30
2025-10-10,13539.28,1508.94,12030.34,20,400,400,5.0,676.96,,20
2025-10-11,19748.86,1760.93,17987.93,40,400,399,10.0,493.72,,40
2025-10-12,15219.08,1690.92,13528.16,32,400,400,8.0,475.6,,32
2025-10-13,16438.99,1701.95,14737.04,32,400,400,8.0,513.72,,32
2025-10-14,20468.84,2372.9,18095.94,40,400,400,10.0,511.72,,40
2025-10-15,10009.39,1138.96,8870.43,24,400,397,6.0,417.06,,24
2025-10-16,14839.1,815.98,14023.12,30,400,400,7.5,494.64,,30
2025-10-17,15139.1,1637.94,13501.16,32,400,400,8.0,473.1,,32
2025-10-18,17698.89,1827.94,15870.95,37,400,400,9.25,478.35,,37
2025-10-19,20018.78,1824.93,18193.85,37,400,400,9.25,541.05,,37
2025-10-20,8119.53,828.99,7290.54,19,400,399,4.75,427.34,,19
2025-10-21,15519.08,1784.94,13734.14,30,400,399,7.5,517.3,,30
2025-10-22,17538.94,1428.95,16109.99,33,400,400,8.25,531.48,,33
2025-10-23,10999.33,958.95,10040.38,25,400,400,6.25,439.97,,25
2025-10-24,14379.1,1014.96,13364.14,28,400,400,7.0,513.54,,28
2025-10-25,17008.99,2106.91,14902.08,33,400,400,8.25,515.42,,33
2025-10-26,17958.99,1425.96,16533.03,32,400,399,8.0,561.22,,32
2025-10-27,19368.89,2536.86,16832.03,33,400,400,8.25,586.94,,33
2025-10-28,14009.21,1393.93,12615.28,27,400,400,6.75,518.86,,27
2025-10-29,15759.04,1624.93,14134.11,29,400,400,7.25,543.42,,29
2025-10-30,16299.07,1777.94,14521.13,32,400,399,8.0,509.35,,32
2025-10-31,17308.98,1858.93,15450.05,33,400,400,8.25,524.51,,33
2025-11-01,13619.2,1811.92,11807.28,28,400,400,7.0,486.4,,28
2025-11-02,15059.2,779.98,14279.22,26,400,399,6.5,579.2,,26
2025-11-03,19078.9,1941.93,17136.97,36,400,399,9.0,529.97,,36
2025-11-04,13849.15,930.95,12918.2,27,400,400,6.75,512.93,,27
2025-11-05,8849.46,777.98,8071.48,19,400,400,4.75,465.76,,19
2025-11-06,19478.84,1928.9,17549.94,39,400,400,9.75,499.46,,39
2025-11-07,13309.17,1374.96,11934.21,27,400,399,6.75,492.93,,27
2025-11-08,16628.91,1278.95,15349.96,33,400,400,8.25,503.91,,33
2025-11-09,14209.19,1640.94,12568.25,26,400,400,6.5,546.51,,26
2025-11-10,16088.93,1942.93,14146.0,35,400,400,8.75,459.68,,35
2025-11-11,12929.28,1055.97,11873.31,24,400,400,6.0,538.72,,24
2025-11-12,17258.97,1822.91,15436.06,35,400,400,8.75,493.11,,35
2025-11-13,13729.13,1268.95,12460.18,28,400,400,7.0,490.33,,28
2025-11-14,10499.4,1256.96,9242.44,24,400,399,6.0,437.48,,24
2025-11-15,15688.97,1681.91,14007.06,32,400,400,8.0,490.28,,32
2025-11-16,26148.53,2960.86,23187.67,47,400,400,11.75,556.35,,47
2025-11-17,15279.05,2085.92,13193.13,29,400,400,7.25,526.86,,29
2025-11-18,10309.27,1296.92,9012.35,26,400,400,6.5,396.51,,26
2025-11-19,21668.71,1596.92,20071.79,38,400,400,9.5,570.23,,38
2025-11-20,12789.23,1282.95,11506.28,25,400,400,6.25,511.57,,25
2025-11-21,13539.25,1580.93,11958.32,24,400,399,6.0,564.14,,24
2025-11-22,16379.1,1792.94,14586.16,28,400,400,7.0,584.97,,28
2025-11-23,10919.32,892.96,10026.36,25,400,400,6.25,436.77,,25
2025-11-24,17648.86,1980.87,15667.99,33,400,399,8.25,534.81,,33
2025-11-25,10159.37,1057.99,9101.38,21,400,400,5.25,483.78,,21
2025-11-26,19728.86,1573.95,18154.91,37,400,400,9.25,533.21,,37
2025-11-27,11579.23,913.96,10665.27,27,400,400,6.75,428.86,,27
2025-11-28,15689.09,1975.93,13713.16,29,400,400,7.25,541.0,,29
2025-11-29,16209.01,1889.9,14319.11,33,400,400,8.25,491.18,,33
2025-11-30,13719.17,1369.92,12349.25,29,400,399,7.25,473.07,,29
2025-12-01,15239.07,1668.92,13570.15,28,400,400,7.0,544.25,,28
2025-12-02,11719.25,1080.96,10638.29,27,400,400,6.75,434.05,,27
2025-12-03,16409.04,1449.93,14959.11,32,400,400,8.0,512.78,,32
2025-12-04,13449.21,916.96,12532.25,29,400,400,7.25,463.77,,29
2025-12-05,13979.24,1354.95,12624.29,29,400,400,7.25,482.04,,29
2025-12-06,16408.96,1739.93,14669.03,33,400,400,8.25,497.24,,33
2025-12-07,16499.03,1753.93,14745.1,31,400,400,7.75,532.23,,31
2025-12-08,11049.36,1131.96,9917.4,23,400,400,5.75,480.41,,23
2025-12-09,15369.03,1294.95,14074.08,33,400,400,8.25,465.73,,33
2025-12-10,9549.35,1351.92,8197.43,21,400,400,5.25,454.73,,21
2025-12-11,11949.23,1171.93,10777.3,22,400,400,5.5,543.15,,22
2025-12-12,14769.16,1089.97,13679.19,29,400,400,7.25,509.28,,29
2025-12-13,17079.04,2140.9,14938.14,30,400,400,7.5,569.3,,30
2025-12-14,16668.99,1516.95,15152.04,37,400,400,9.25,450.51,,37
2025-12-15,16269.05,1518.93,14750.12,32,400,398,8.0,508.41,,32
2025-12-16,16649.0,1466.94,15182.06,33,400,400,8.25,504.52,,33
2025-12-17,16598.94,1442.93,15156.01,35,400,399,8.75,474.26,,35
2025-12-18,19628.81,1835.94,17792.87,45,400,400,11.25,436.2,,45
2025-12-19,19268.87,1546.96,17721.91,38,400,400,9.5,507.08,,38
2025-12-20,17258.9,1730.93,15527.97,33,400,399,8.25,523.0,,33
2025-12-21,12629.19,1073.96,11555.23,29,400,400,7.25,435.49,,29
2025-12-22,18728.9,1875.92,16852.98,37,400,399,9.25,506.19,,37
