date,discount_coupon_code,usage_count,total_discount_given,gross_revenue,avg_order_value,net_revenue,discount_percentage
2025-01-21,HOLIDAY10,16,591.0,5909.62,369.35,5318.62,10.0
2025-01-21,RING20,9,825.95,4129.75,458.86,3303.8,20.0
2025-01-21,NO_COUPON,7,0.0,3159.78,451.4,3159.78,0.0
2025-01-22,RING20,10,1303.94,6519.65,651.96,5215.71,20.0
2025-01-22,HOLIDAY10,7,431.0,4309.77,615.68,3878.77,10.0
2025-01-22,NO_COUPON,6,0.0,4129.75,688.29,4129.75,0.0
2025-01-23,HOLIDAY10,10,666.0,6659.64,665.96,5993.64,10.0
2025-01-23,NO_COUPON,10,0.0,4979.68,497.97,4979.68,0.0
2025-01-23,RING20,9,1069.94,5349.7,594.41,4279.76,20.0
2025-01-24,HOLIDAY10,11,396.0,3959.76,359.98,3563.76,10.0
2025-01-24,NO_COUPON,9,0.0,4469.72,496.64,4469.72,0.0
2025-01-24,RING20,9,787.96,3939.77,437.75,3151.81,20.0
2025-01-25,HOLIDAY10,13,567.0,5669.59,436.12,5102.59,10.0
2025-01-25,RING20,10,857.95,4289.7,428.97,3431.75,20.0
2025-01-25,NO_COUPON,5,0.0,2769.83,553.97,2769.83,0.0
2025-01-26,HOLIDAY10,9,585.0,5849.68,649.96,5264.68,10.0
2025-01-26,RING20,8,961.95,4809.72,601.22,3847.77,20.0
2025-01-26,NO_COUPON,7,0.0,2899.81,414.26,2899.81,0.0
2025-01-27,NO_COUPON,17,0.0,7999.49,470.56,7999.49,0.0
2025-01-27,HOLIDAY10,13,629.0,6289.62,483.82,5660.62,10.0
2025-01-27,RING20,11,1019.94,5099.66,463.61,4079.72,20.0
2025-01-28,HOLIDAY10,17,930.99,9309.47,547.62,8378.48,10.0
2025-01-28,NO_COUPON,10,0.0,5289.69,528.97,5289.69,0.0
2025-01-28,RING20,3,325.98,1629.9,543.3,1303.92,20.0
2025-01-29,HOLIDAY10,16,754.0,7539.5,471.22,6785.5,10.0
2025-01-29,RING20,14,1199.93,5999.61,428.54,4799.68,20.0
2025-01-29,NO_COUPON,6,0.0,3169.79,528.3,3169.79,0.0
2025-01-30,HOLIDAY10,12,728.99,7289.55,607.46,6560.56,10.0
2025-01-30,NO_COUPON,12,0.0,4909.69,409.14,4909.69,0.0
2025-01-30,RING20,11,1313.91,6569.58,597.23,5255.67,20.0
2025-01-31,RING20,15,753.96,3769.71,251.31,3015.75,20.0
2025-01-31,HOLIDAY10,10,510.0,5099.71,509.97,4589.71,10.0
2025-01-31,NO_COUPON,9,0.0,3869.78,429.98,3869.78,0.0
2025-02-01,NO_COUPON,19,0.0,7909.46,416.29,7909.46,0.0
2025-02-01,HOLIDAY10,14,621.0,6209.59,443.54,5588.59,10.0
2025-02-01,RING20,8,615.95,3079.78,384.97,2463.83,20.0
2025-02-02,NO_COUPON,17,0.0,8369.47,492.32,8369.47,0.0
2025-02-02,RING20,10,1139.95,5699.68,569.97,4559.73,20.0
2025-02-02,HOLIDAY10,9,596.0,5959.68,662.19,5363.68,10.0
2025-02-03,NO_COUPON,14,0.0,7979.53,569.97,7979.53,0.0
2025-02-03,HOLIDAY10,8,437.0,4369.78,546.22,3932.78,10.0
2025-02-03,RING20,7,669.95,3349.78,478.54,2679.83,20.0
2025-02-04,RING20,13,1335.92,6679.6,513.82,5343.68,20.0
2025-02-04,HOLIDAY10,8,315.0,3149.83,393.73,2834.83,10.0
2025-02-04,NO_COUPON,8,0.0,4899.73,612.47,4899.73,0.0
2025-02-05,RING20,16,1567.92,7839.54,489.97,6271.62,20.0
2025-02-05,HOLIDAY10,6,238.0,2379.87,396.64,2141.87,10.0
2025-02-05,NO_COUPON,6,0.0,4459.74,743.29,4459.74,0.0
2025-02-06,RING20,14,1239.94,6199.64,442.83,4959.7,20.0
2025-02-06,NO_COUPON,12,0.0,5899.67,491.64,5899.67,0.0
2025-02-06,HOLIDAY10,9,292.0,2919.82,324.42,2627.82,10.0
2025-02-07,NO_COUPON,17,0.0,8229.58,484.09,8229.58,0.0
2025-02-07,HOLIDAY10,11,440.0,4399.75,399.98,3959.75,10.0
2025-02-07,RING20,8,615.98,3079.78,384.97,2463.8,20.0
2025-02-08,RING20,15,1685.9,8429.51,561.97,6743.61,20.0
2025-02-08,HOLIDAY10,6,301.0,3009.81,501.64,2708.81,10.0
2025-02-08,NO_COUPON,6,0.0,1389.89,231.65,1389.89,0.0
2025-02-09,HOLIDAY10,15,744.99,7449.56,496.64,6704.57,10.0
2025-02-09,RING20,14,1193.94,5969.64,426.4,4775.7,20.0
2025-02-09,NO_COUPON,9,0.0,4919.69,546.63,4919.69,0.0
2025-02-10,HOLIDAY10,9,564.0,5639.69,626.63,5075.69,10.0
2025-02-10,NO_COUPON,9,0.0,4269.74,474.42,4269.74,0.0
2025-02-10,RING20,8,595.95,2979.79,372.47,2383.84,20.0
2025-02-11,RING20,12,961.96,4809.72,400.81,3847.76,20.0
2025-02-11,NO_COUPON,10,0.0,3869.78,386.98,3869.78,0.0
2025-02-11,HOLIDAY10,9,368.0,3679.72,408.86,3311.72,10.0
2025-02-12,HOLIDAY10,16,771.0,7709.56,481.85,6938.56,10.0
2025-02-12,RING20,14,1557.92,7789.59,556.4,6231.67,20.0
2025-02-12,NO_COUPON,3,0.0,2159.85,719.95,2159.85,0.0
2025-02-13,RING20,12,999.96,4999.7,416.64,3999.74,20.0
2025-02-13,HOLIDAY10,5,348.0,3479.82,695.96,3131.82,10.0
2025-02-13,NO_COUPON,5,0.0,2749.79,549.96,2749.79,0.0
2025-02-14,RING20,9,753.95,3769.76,418.86,3015.81,20.0
2025-02-14,NO_COUPON,8,0.0,4069.71,508.71,4069.71,0.0
2025-02-14,HOLIDAY10,4,161.0,1609.91,402.48,1448.91,10.0
2025-02-15,NO_COUPON,13,0.0,7759.59,596.89,7759.59,0.0
2025-02-15,HOLIDAY10,8,476.99,4769.72,596.22,4292.73,10.0
2025-02-15,RING20,7,645.96,3229.8,461.4,2583.84,20.0
2025-02-16,HOLIDAY10,16,867.98,8679.47,542.47,7811.49,10.0
2025-02-16,RING20,10,817.94,4089.74,408.97,3271.8,20.0
2025-02-16,NO_COUPON,8,0.0,5649.67,706.21,5649.67,0.0
2025-02-17,HOLIDAY10,14,517.0,5169.63,369.26,4652.63,10.0
2025-02-17,NO_COUPON,10,0.0,4939.73,493.97,4939.73,0.0
2025-02-17,RING20,10,907.95,4539.72,453.97,3631.77,20.0
2025-02-18,HOLIDAY10,13,705.0,7049.55,542.27,6344.55,10.0
2025-02-18,NO_COUPON,10,0.0,5519.66,551.97,5519.66,0.0
2025-02-18,RING20,8,831.95,4159.74,519.97,3327.79,20.0
2025-02-19,HOLIDAY10,9,487.0,4869.71,541.08,4382.71,10.0
2025-02-19,NO_COUPON,9,0.0,3669.82,407.76,3669.82,0.0
2025-02-19,RING20,6,493.98,2469.83,411.64,1975.85,20.0
2025-02-20,NO_COUPON,16,0.0,6319.59,394.97,6319.59,0.0
2025-02-20,RING20,9,849.95,4249.73,472.19,3399.78,20.0
2025-02-20,HOLIDAY10,6,392.99,3929.79,654.96,3536.8,10.0
2025-02-21,RING20,11,1259.93,6299.65,572.7,5039.72,20.0
2025-02-21,NO_COUPON,10,0.0,4939.66,493.97,4939.66,0.0
2025-02-21,HOLIDAY10,5,170.0,1699.87,339.97,1529.87,10.0
2025-02-22,HOLIDAY10,11,586.0,5859.69,532.7,5273.69,10.0
2025-02-22,RING20,11,1275.92,6379.58,579.96,5103.66,20.0
2025-02-22,NO_COUPON,9,0.0,4309.74,478.86,4309.74,0.0
2025-02-23,NO_COUPON,11,0.0,3999.76,363.61,3999.76,0.0
2025-02-23,RING20,10,661.96,3309.76,330.98,2647.8,20.0
2025-02-23,HOLIDAY10,8,444.99,4449.71,556.21,4004.72,10.0
2025-02-24,HOLIDAY10,16,738.0,7379.56,461.22,6641.56,10.0
2025-02-24,RING20,16,1399.91,6999.54,437.47,5599.63,20.0
2025-02-24,NO_COUPON,10,0.0,3749.74,374.97,3749.74,0.0
2025-02-25,RING20,15,1277.91,6389.56,425.97,5111.65,20.0
2025-02-25,HOLIDAY10,11,547.0,5469.68,497.24,4922.68,10.0
2025-02-25,NO_COUPON,9,0.0,3709.74,412.19,3709.74,0.0
2025-02-26,NO_COUPON,15,0.0,6989.61,465.97,6989.61,0.0
2025-02-26,HOLIDAY10,11,647.0,6469.67,588.15,5822.67,10.0
2025-02-26,RING20,9,1055.93,5279.68,586.63,4223.75,20.0
2025-02-27,HOLIDAY10,16,704.0,7039.52,439.97,6335.52,10.0
2025-02-27,RING20,9,819.96,4099.73,455.53,3279.77,20.0
2025-02-27,NO_COUPON,8,0.0,3409.77,426.22,3409.77,0.0
2025-02-28,RING20,12,1081.94,5409.69,450.81,4327.75,20.0
2025-02-28,HOLIDAY10,11,512.0,5119.68,465.43,4607.68,10.0
2025-02-28,NO_COUPON,8,0.0,4669.73,583.72,4669.73,0.0
2025-03-01,HOLIDAY10,14,731.98,7319.52,522.82,6587.54,10.0
2025-03-01,NO_COUPON,11,0.0,4339.71,394.52,4339.71,0.0
2025-03-01,RING20,11,867.95,4339.71,394.52,3471.76,20.0
2025-03-02,RING20,15,1065.94,5329.66,355.31,4263.72,20.0
2025-03-02,NO_COUPON,10,0.0,5069.74,506.97,5069.74,0.0
2025-03-02,HOLIDAY10,6,416.98,4169.75,694.96,3752.77,10.0
2025-03-03,HOLIDAY10,18,587.0,5869.62,326.09,5282.62,10.0
2025-03-03,NO_COUPON,11,0.0,5929.64,539.06,5929.64,0.0
2025-03-03,RING20,5,341.99,1709.88,341.98,1367.89,20.0
2025-03-04,NO_COUPON,8,0.0,4099.75,512.47,4099.75,0.0
2025-03-04,RING20,8,1093.94,5469.68,683.71,4375.74,20.0
2025-03-04,HOLIDAY10,5,245.0,2449.84,489.97,2204.84,10.0
2025-03-05,HOLIDAY10,13,786.99,7869.51,605.35,7082.52,10.0
2025-03-05,NO_COUPON,13,0.0,5779.66,444.59,5779.66,0.0
2025-03-05,RING20,12,1109.96,5549.68,462.47,4439.72,20.0
2025-03-06,NO_COUPON,9,0.0,4519.73,502.19,4519.73,0.0
2025-03-06,RING20,9,773.97,3869.78,429.98,3095.81,20.0
2025-03-06,HOLIDAY10,7,234.0,2339.79,334.26,2105.79,10.0
2025-03-07,HOLIDAY10,11,584.99,5849.66,531.79,5264.67,10.0
2025-03-07,NO_COUPON,10,0.0,3769.78,376.98,3769.78,0.0
2025-03-07,RING20,10,1239.94,6199.69,619.97,4959.75,20.0
2025-03-08,NO_COUPON,14,0.0,7079.57,505.68,7079.57,0.0
2025-03-08,HOLIDAY10,12,569.0,5689.67,474.14,5120.67,10.0
2025-03-08,RING20,10,847.95,4239.72,423.97,3391.77,20.0
2025-03-09,RING20,16,1353.93,6769.56,423.1,5415.63,20.0
2025-03-09,HOLIDAY10,11,602.99,6029.65,548.15,5426.66,10.0
2025-03-09,NO_COUPON,9,0.0,3989.75,443.31,3989.75,0.0
2025-03-10,HOLIDAY10,16,914.0,9139.47,571.22,8225.47,10.0
2025-03-10,RING20,12,1267.93,6339.66,528.3,5071.73,20.0
2025-03-10,NO_COUPON,9,0.0,4189.71,465.52,4189.71,0.0
2025-03-11,RING20,12,1017.93,5089.65,424.14,4071.72,20.0
2025-03-11,HOLIDAY10,11,260.0,2599.74,236.34,2339.74,10.0
2025-03-11,NO_COUPON,5,0.0,2579.85,515.97,2579.85,0.0
2025-03-12,RING20,11,1171.93,5859.66,532.7,4687.73,20.0
2025-03-12,NO_COUPON,7,0.0,3339.78,477.11,3339.78,0.0
2025-03-12,HOLIDAY10,6,194.0,1939.88,323.31,1745.88,10.0
2025-03-13,RING20,13,1313.91,6569.56,505.35,5255.65,20.0
2025-03-13,NO_COUPON,7,0.0,3029.8,432.83,3029.8,0.0
2025-03-13,HOLIDAY10,5,321.0,3209.79,641.96,2888.79,10.0
2025-03-14,HOLIDAY10,15,615.99,6159.61,410.64,5543.62,10.0
2025-03-14,RING20,9,999.94,4999.7,555.52,3999.76,20.0
2025-03-14,NO_COUPON,8,0.0,3839.76,479.97,3839.76,0.0
2025-03-15,HOLIDAY10,13,753.0,7529.59,579.2,6776.59,10.0
2025-03-15,NO_COUPON,12,0.0,8219.54,684.96,8219.54,0.0
2025-03-15,RING20,9,1025.94,5129.68,569.96,4103.74,20.0
2025-03-16,RING20,12,1163.94,5819.61,484.97,4655.67,20.0
2025-03-16,NO_COUPON,11,0.0,5069.69,460.88,5069.69,0.0
2025-03-16,HOLIDAY10,4,228.0,2279.85,569.96,2051.85,10.0
2025-03-17,NO_COUPON,10,0.0,5539.68,553.97,5539.68,0.0
2025-03-17,RING20,9,1151.94,5759.7,639.97,4607.76,20.0
2025-03-17,HOLIDAY10,5,317.99,3179.82,635.96,2861.83,10.0
2025-03-18,NO_COUPON,12,0.0,6379.61,531.63,6379.61,0.0
2025-03-18,HOLIDAY10,10,510.0,5099.71,509.97,4589.71,10.0
2025-03-18,RING20,9,991.95,4959.72,551.08,3967.77,20.0
2025-03-19,NO_COUPON,13,0.0,4839.69,372.28,4839.69,0.0
2025-03-19,HOLIDAY10,8,483.0,4829.71,603.71,4346.71,10.0
2025-03-19,RING20,7,735.95,3679.8,525.69,2943.85,20.0
2025-03-20,NO_COUPON,13,0.0,7069.54,543.81,7069.54,0.0
2025-03-20,HOLIDAY10,12,522.0,5219.64,434.97,4697.64,10.0
2025-03-20,RING20,12,1409.89,7049.55,587.46,5639.66,20.0
2025-03-21,RING20,18,1521.9,7609.49,422.75,6087.59,20.0
2025-03-21,NO_COUPON,9,0.0,5299.67,588.85,5299.67,0.0
2025-03-21,HOLIDAY10,8,335.0,3349.78,418.72,3014.78,10.0
2025-03-22,HOLIDAY10,12,463.99,4639.76,386.65,4175.77,10.0
2025-03-22,NO_COUPON,6,0.0,2079.87,346.64,2079.87,0.0
2025-03-22,RING20,4,549.96,2749.81,687.45,2199.85,20.0
2025-03-23,NO_COUPON,14,0.0,5789.67,413.55,5789.67,0.0
2025-03-23,RING20,14,1367.9,6839.53,488.54,5471.63,20.0
2025-03-23,HOLIDAY10,11,462.99,4629.7,420.88,4166.71,10.0
2025-03-24,NO_COUPON,12,0.0,5879.7,489.98,5879.7,0.0
2025-03-24,RING20,11,1163.96,5819.71,529.06,4655.75,20.0
2025-03-24,HOLIDAY10,10,539.0,5389.65,538.96,4850.65,10.0
2025-03-25,RING20,15,1343.91,6719.55,447.97,5375.64,20.0
2025-03-25,NO_COUPON,12,0.0,5839.62,486.64,5839.62,0.0
2025-03-25,HOLIDAY10,7,363.98,3639.72,519.96,3275.74,10.0
2025-03-26,HOLIDAY10,12,634.99,6349.61,529.13,5714.62,10.0
2025-03-26,NO_COUPON,11,0.0,6329.62,575.42,6329.62,0.0
2025-03-26,RING20,9,887.96,4439.75,493.31,3551.79,20.0
2025-03-27,HOLIDAY10,15,720.99,7209.5,480.63,6488.51,10.0
2025-03-27,NO_COUPON,12,0.0,5219.64,434.97,5219.64,0.0
2025-03-27,RING20,12,1271.92,6359.59,529.97,5087.67,20.0
2025-03-28,HOLIDAY10,12,586.0,5859.61,488.3,5273.61,10.0
2025-03-28,NO_COUPON,11,0.0,6109.65,555.42,6109.65,0.0
2025-03-28,RING20,10,797.97,3989.78,398.98,3191.81,20.0
2025-03-29,HOLIDAY10,15,801.99,8019.51,534.63,7217.52,10.0
2025-03-29,NO_COUPON,13,0.0,6789.52,522.27,6789.52,0.0
2025-03-29,RING20,13,1309.91,6549.59,503.81,5239.68,20.0
2025-03-30,HOLIDAY10,16,888.0,8879.48,554.97,7991.48,10.0
2025-03-30,NO_COUPON,14,0.0,5719.64,408.55,5719.64,0.0
2025-03-30,RING20,10,897.95,4489.73,448.97,3591.78,20.0
2025-03-31,RING20,14,1639.9,8199.51,585.68,6559.61,20.0
2025-03-31,NO_COUPON,12,0.0,6399.59,533.3,6399.59,0.0
2025-03-31,HOLIDAY10,9,457.0,4569.71,507.75,4112.71,10.0
2025-04-01,RING20,15,1439.91,7199.52,479.97,5759.61,20.0
2025-04-01,NO_COUPON,10,0.0,5459.72,545.97,5459.72,0.0
2025-04-01,HOLIDAY10,8,397.99,3979.72,497.46,3581.73,10.0
2025-04-02,HOLIDAY10,12,700.99,7009.57,584.13,6308.58,10.0
2025-04-02,NO_COUPON,10,0.0,3469.76,346.98,3469.76,0.0
2025-04-02,RING20,7,821.95,4109.76,587.11,3287.81,20.0
2025-04-03,RING20,14,973.94,4869.63,347.83,3895.69,20.0
2025-04-03,HOLIDAY10,9,466.0,4659.75,517.75,4193.75,10.0
2025-04-03,NO_COUPON,7,0.0,4519.73,645.68,4519.73,0.0
2025-04-04,RING20,16,1665.9,8329.51,520.59,6663.61,20.0
2025-04-04,NO_COUPON,11,0.0,7169.6,651.78,7169.6,0.0
2025-04-04,HOLIDAY10,9,492.0,4919.77,546.64,4427.77,10.0
2025-04-05,RING20,15,1301.94,6509.62,433.97,5207.68,20.0
2025-04-05,NO_COUPON,10,0.0,5199.68,519.97,5199.68,0.0
2025-04-05,HOLIDAY10,9,425.99,4259.71,473.3,3833.72,10.0
2025-04-06,RING20,15,1251.95,6259.6,417.31,5007.65,20.0
2025-04-06,HOLIDAY10,10,426.0,4259.76,425.98,3833.76,10.0
2025-04-06,NO_COUPON,9,0.0,6019.65,668.85,6019.65,0.0
2025-04-07,HOLIDAY10,13,600.0,5999.6,461.51,5399.6,10.0
2025-04-07,NO_COUPON,9,0.0,4229.74,469.97,4229.74,0.0
2025-04-07,RING20,8,773.94,3869.75,483.72,3095.81,20.0
2025-04-08,HOLIDAY10,15,784.0,7839.49,522.63,7055.49,10.0
2025-04-08,RING20,8,1035.94,5179.69,647.46,4143.75,20.0
2025-04-08,NO_COUPON,7,0.0,3169.79,452.83,3169.79,0.0
2025-04-09,RING20,12,1605.93,8029.57,669.13,6423.64,20.0
2025-04-09,HOLIDAY10,9,355.0,3549.74,394.42,3194.74,10.0
2025-04-09,NO_COUPON,6,0.0,2229.87,371.64,2229.87,0.0
2025-04-10,RING20,15,1407.91,7039.57,469.3,5631.66,20.0
2025-04-10,HOLIDAY10,13,848.96,8489.49,653.04,7640.53,10.0
2025-04-10,NO_COUPON,10,0.0,5649.7,564.97,5649.7,0.0
2025-04-11,HOLIDAY10,12,556.0,5559.69,463.31,5003.69,10.0
2025-04-11,NO_COUPON,12,0.0,6279.66,523.3,6279.66,0.0
2025-04-11,RING20,12,1199.94,5999.63,499.97,4799.69,20.0
2025-04-12,NO_COUPON,9,0.0,4159.74,462.19,4159.74,0.0
2025-04-12,RING20,9,905.95,4529.76,503.31,3623.81,20.0
2025-04-12,HOLIDAY10,6,202.0,2019.88,336.65,1817.88,10.0
2025-04-13,HOLIDAY10,12,570.0,5699.63,474.97,5129.63,10.0
2025-04-13,NO_COUPON,11,0.0,5729.65,520.88,5729.65,0.0
2025-04-13,RING20,10,1257.94,6289.65,628.96,5031.71,20.0
2025-04-14,NO_COUPON,11,0.0,4379.74,398.16,4379.74,0.0
2025-04-14,RING20,11,837.95,4189.74,380.89,3351.79,20.0
2025-04-14,HOLIDAY10,7,364.0,3639.8,519.97,3275.8,10.0
2025-04-15,HOLIDAY10,14,701.0,7009.62,500.69,6308.62,10.0
2025-04-15,NO_COUPON,8,0.0,4409.76,551.22,4409.76,0.0
2025-04-15,RING20,6,691.97,3459.81,576.64,2767.84,20.0
2025-04-16,HOLIDAY10,10,575.0,5749.69,574.97,5174.69,10.0
2025-04-16,NO_COUPON,10,0.0,5499.65,549.96,5499.65,0.0
2025-04-16,RING20,3,427.97,2139.86,713.29,1711.89,20.0
2025-04-17,HOLIDAY10,18,732.99,7329.53,407.2,6596.54,10.0
2025-04-17,RING20,10,935.96,4679.74,467.97,3743.78,20.0
2025-04-17,NO_COUPON,9,0.0,4609.74,512.19,4609.74,0.0
2025-04-18,HOLIDAY10,12,651.0,6509.64,542.47,5858.64,10.0
2025-04-18,RING20,10,1007.94,5039.72,503.97,4031.78,20.0
2025-04-18,NO_COUPON,9,0.0,3849.74,427.75,3849.74,0.0
2025-04-19,NO_COUPON,13,0.0,6729.64,517.66,6729.64,0.0
2025-04-19,RING20,11,1503.92,7519.58,683.6,6015.66,20.0
2025-04-19,HOLIDAY10,7,238.99,2389.8,341.4,2150.81,10.0
2025-04-20,RING20,15,1541.9,7709.53,513.97,6167.63,20.0
2025-04-20,NO_COUPON,11,0.0,6129.64,557.24,6129.64,0.0
2025-04-20,HOLIDAY10,10,403.0,4029.76,402.98,3626.76,10.0
2025-04-21,HOLIDAY10,15,814.98,8149.52,543.3,7334.54,10.0
2025-04-21,RING20,11,1135.94,5679.67,516.33,4543.73,20.0
2025-04-21,NO_COUPON,7,0.0,3309.81,472.83,3309.81,0.0
2025-04-22,HOLIDAY10,11,399.0,3989.75,362.7,3590.75,10.0
2025-04-22,RING20,6,521.96,2609.84,434.97,2087.88,20.0
2025-04-22,NO_COUPON,4,0.0,1279.92,319.98,1279.92,0.0
2025-04-23,NO_COUPON,11,0.0,4969.73,451.79,4969.73,0.0
2025-04-23,RING20,11,1011.91,5059.66,459.97,4047.75,20.0
2025-04-23,HOLIDAY10,4,192.0,1919.89,479.97,1727.89,10.0
2025-04-24,NO_COUPON,14,0.0,8149.5,582.11,8149.5,0.0
2025-04-24,HOLIDAY10,9,451.0,4509.72,501.08,4058.72,10.0
2025-04-24,RING20,9,733.97,3669.77,407.75,2935.8,20.0
2025-04-25,RING20,13,1245.94,6229.63,479.2,4983.69,20.0
2025-04-25,NO_COUPON,10,0.0,4109.73,410.97,4109.73,0.0
2025-04-25,HOLIDAY10,7,328.99,3289.79,469.97,2960.8,10.0
2025-04-26,NO_COUPON,12,0.0,5289.69,440.81,5289.69,0.0
2025-04-26,RING20,7,741.95,3709.77,529.97,2967.82,20.0
2025-04-27,HOLIDAY10,11,618.99,6189.63,562.69,5570.64,10.0
2025-04-27,RING20,9,1153.93,5769.65,641.07,4615.72,20.0
2025-04-27,NO_COUPON,6,0.0,3309.78,551.63,3309.78,0.0
2025-04-28,RING20,8,625.96,3129.81,391.23,2503.85,20.0
2025-04-28,HOLIDAY10,7,306.0,3059.82,437.12,2753.82,10.0
2025-04-28,NO_COUPON,7,0.0,2199.82,314.26,2199.82,0.0
2025-04-29,RING20,14,1451.89,7259.56,518.54,5807.67,20.0
2025-04-29,HOLIDAY10,11,636.99,6369.65,579.06,5732.66,10.0
2025-04-29,NO_COUPON,10,0.0,5649.67,564.97,5649.67,0.0
2025-04-30,NO_COUPON,11,0.0,5319.63,483.6,5319.63,0.0
2025-04-30,RING20,10,961.95,4809.75,480.98,3847.8,20.0
2025-04-30,HOLIDAY10,8,252.0,2519.81,314.98,2267.81,10.0
2025-05-01,RING20,15,1653.88,8269.45,551.3,6615.57,20.0
2025-05-01,HOLIDAY10,13,599.99,5999.65,461.51,5399.66,10.0
2025-05-01,NO_COUPON,12,0.0,6129.61,510.8,6129.61,0.0
2025-05-02,HOLIDAY10,12,435.0,4349.66,362.47,3914.66,10.0
2025-05-02,NO_COUPON,10,0.0,5489.67,548.97,5489.67,0.0
